CompraID,UsuarioID,EstabelecimentoID,DataCompra,ValorTotal,MetodoPagamento,NumeroNF,Observacoes,DataCriacao
1,1810,139,2025-03-05 08:55:53.121708,0.0,PIX,13122706,Veritatis esse incidunt quos asperiores hic totam.,2025-07-29 19:51:10.954087
2,8459,477,2024-06-10 17:41:40.800791,313.57851000000005,PIX,01419566,Ex occaecati minima totam dolores. Molestias qui et itaque architecto perferendis.,2025-07-29 19:51:10.954087
3,4874,479,2024-09-09 19:53:29.201662,0.0,Dinheiro,12918188,Facere error in placeat amet quis. Quas nemo quas ipsam impedit odit. Minus reiciendis esse optio.,2025-07-29 19:51:10.954087
4,668,38,2024-11-09 19:32:59.330584,304.215255,Cartão Crédito,91310651,Cum voluptatem perferendis voluptatem. Nesciunt at totam laudantium esse sit illo.,2025-07-29 19:51:10.954087
5,7381,379,2024-06-13 22:24:29.360265,28.49778,PIX,72081969,"Quod est suscipit dolorum eum.
Odit facilis odit necessitatibus laboriosam perferendis.",2025-07-29 19:51:10.954087
6,7477,789,2024-07-17 08:42:57.563301,164.412292,Dinheiro,32384208,Laborum beatae doloribus quidem iure reprehenderit. Neque neque non nobis culpa.,2025-07-29 19:51:10.954087
7,8246,47,2024-09-03 00:37:52.795256,111.14338700000002,PIX,94387223,Dicta beatae cum maxime expedita. Quis eos vero ut minus.,2025-07-29 19:51:10.954087
8,2822,388,2023-12-22 08:28:36.614724,0.0,Dinheiro,01029055,Possimus sunt illo distinctio. Laborum vero animi quisquam possimus.,2025-07-29 19:51:10.954087
9,3946,420,2024-06-05 06:24:48.316872,0.0,PIX,65679500,Animi illum in provident nulla sit. Totam provident rem.,2025-07-29 19:51:10.954087
10,4491,115,2023-10-17 15:27:15.205034,64.090815,PIX,24324625,Similique distinctio excepturi. Rem reiciendis ea modi deleniti ab quas.,2025-07-29 19:51:10.954087
11,4608,580,2024-04-17 11:11:20.417964,220.71233999999998,Cartão Crédito,57906782,Nisi culpa soluta veniam. Veniam veniam mollitia dolore quam animi repellat vel.,2025-07-29 19:51:10.954087
12,8993,228,2023-09-13 07:07:28.164004,164.41290800000002,PIX,76235122,Iste illo odio. Ab fuga illo officia eos nulla esse cupiditate.,2025-07-29 19:51:10.954087
13,4421,567,2025-07-11 14:54:32.396073,84.17140800000001,Cartão Crédito,90328459,Numquam voluptates et quis eos rerum reprehenderit. Quasi veniam sit asperiores.,2025-07-29 19:51:10.954087
14,2027,473,2024-08-22 19:43:39.119427,0.0,Cartão Crédito,13591908,Deserunt corporis excepturi culpa. Maiores iure expedita aliquid perspiciatis delectus dolores.,2025-07-29 19:51:10.954087
15,8366,559,2025-05-12 04:19:21.408340,153.21036999999998,Cartão Crédito,54832787,Vero voluptas fugit culpa. Voluptates quam delectus quia ullam.,2025-07-29 19:51:10.954087
16,6349,348,2024-06-15 04:46:18.595209,29.26062,Dinheiro,04688181,Nobis consequuntur natus sint enim. Consequatur in voluptatibus animi commodi.,2025-07-29 19:51:10.954087
17,55,506,2023-08-04 23:04:33.233881,0.0,PIX,75615031,Quas eaque quia ab quam. Facere explicabo hic repellendus magni a nulla.,2025-07-29 19:51:10.954087
18,5867,804,2024-02-19 12:56:28.527507,0.0,Cartão Crédito,24214483,Possimus error debitis deserunt nulla magnam.,2025-07-29 19:51:10.954087
19,8902,766,2024-03-16 11:10:27.200953,88.87712400000001,PIX,09427044,Est soluta maiores.,2025-07-29 19:51:10.954087
20,7475,406,2025-07-11 12:03:06.060552,9.913089999999999,Dinheiro,93999311,Odio error id quidem. Consequuntur harum praesentium rerum possimus officiis.,2025-07-29 19:51:10.954087
21,7449,751,2025-07-12 16:46:33.983966,439.722572,Dinheiro,57805757,Enim quae sed consequatur nobis. Commodi adipisci quasi dolorem.,2025-07-29 19:51:10.954087
22,9833,942,2023-11-06 00:25:03.787016,256.507155,PIX,82474904,Nostrum culpa blanditiis accusamus quam temporibus. Voluptatum voluptatem beatae dolorem.,2025-07-29 19:51:10.954087
23,1815,15,2024-01-08 09:40:42.792965,0.0,Cartão Crédito,53504432,Maiores sapiente praesentium numquam. Amet saepe non consectetur officiis officiis.,2025-07-29 19:51:10.954087
24,9906,21,2025-03-31 19:51:54.444080,582.93228,PIX,74910663,Vero sint laborum dolor eum. Dignissimos dolor pariatur minus. Itaque eligendi sequi aliquam.,2025-07-29 19:51:10.954087
25,7148,843,2023-11-23 22:26:39.712459,0.0,Cartão Crédito,00701501,Voluptatum natus maxime commodi quasi enim. Necessitatibus aliquid nemo quae voluptate.,2025-07-29 19:51:10.954087
26,4237,533,2025-05-23 09:17:16.060373,142.84864,PIX,68048464,Totam culpa soluta nobis debitis reprehenderit nostrum. Sed illo explicabo ut ad. Id placeat sunt.,2025-07-29 19:51:10.954087
27,7113,553,2024-07-12 06:38:08.029760,0.0,Dinheiro,52409370,"Laudantium amet vitae iusto molestias. Sit ex amet iure reiciendis.
Non eligendi sed.",2025-07-29 19:51:10.954087
28,4254,524,2025-04-24 14:08:19.289363,0.0,Cartão Crédito,38618826,Ad adipisci consequatur. Reiciendis quos nesciunt neque eveniet. Magni omnis nam laboriosam.,2025-07-29 19:51:10.954087
29,105,946,2025-03-30 11:38:28.425066,16.250895,Dinheiro,03915776,Rem provident mollitia. Eaque aperiam pariatur rerum laudantium.,2025-07-29 19:51:10.954087
30,4385,182,2024-11-27 06:20:44.815197,0.0,Cartão Crédito,37794781,Quaerat cupiditate omnis error. Laudantium dolorum adipisci minima neque fuga.,2025-07-29 19:51:10.954087
31,7862,697,2024-09-24 08:32:29.677975,0.0,PIX,34810774,Id consectetur praesentium expedita. Accusamus ullam aliquam minima dolor soluta.,2025-07-29 19:51:10.954087
32,1209,526,2025-07-05 18:10:59.105893,42.579209999999996,PIX,52428333,Consectetur minus repellat quod asperiores minus. Aliquid quo corrupti esse officiis dignissimos.,2025-07-29 19:51:10.954087
33,2996,643,2025-06-18 18:26:28.104815,67.99050000000001,Cartão Crédito,28152415,Ab dolorem rem enim enim. Nulla libero omnis quo.,2025-07-29 19:51:10.954087
34,7643,148,2024-02-10 17:25:21.136065,261.999873,Dinheiro,15350909,A sunt ab ratione aperiam.,2025-07-29 19:51:10.954087
35,4321,806,2024-04-21 06:13:22.458377,0.0,Cartão Crédito,12470624,Dicta esse eaque vel assumenda possimus tempore velit. Cupiditate velit facilis vero iure.,2025-07-29 19:51:10.954087
36,1907,119,2024-05-18 11:24:12.954926,169.666224,PIX,49805857,Consequuntur earum corporis saepe accusantium. Ex rerum dicta aperiam maiores a.,2025-07-29 19:51:10.954087
37,1711,894,2024-07-29 18:53:11.247281,0.0,Cartão Crédito,28755043,Voluptatibus deleniti repellendus at sit odit. Atque animi vitae officiis doloribus nostrum.,2025-07-29 19:51:10.954087
38,4180,611,2025-02-10 06:11:02.675210,85.902102,Cartão Crédito,75321147,Expedita fuga magnam saepe quae. Ducimus maxime aut laborum id reiciendis omnis recusandae.,2025-07-29 19:51:10.954087
39,9784,920,2023-11-27 23:25:18.312085,61.995024,Cartão Crédito,12368136,Ex eaque eligendi soluta. Asperiores iste quasi iure eos possimus.,2025-07-29 19:51:10.954087
40,2140,537,2024-10-13 05:27:00.134843,0.0,PIX,77551177,Ipsam placeat numquam sapiente nostrum rem. Consequatur illum alias accusantium ducimus.,2025-07-29 19:51:10.954087
41,8,194,2024-02-28 18:46:45.594430,148.229186,Cartão Crédito,61291539,Pariatur aliquam maxime exercitationem. Minus consectetur dolores vel.,2025-07-29 19:51:10.954087
42,3646,907,2024-08-23 12:37:00.242198,0.0,Dinheiro,90112560,Veniam molestiae ut numquam. Laboriosam optio soluta in est.,2025-07-29 19:51:10.954087
43,7222,119,2025-06-16 19:01:53.649465,34.81899,PIX,70118858,Mollitia dolorem blanditiis assumenda aspernatur recusandae sint. Distinctio id esse est.,2025-07-29 19:51:10.954087
44,7331,972,2025-01-28 13:47:10.820021,165.020551,PIX,23606340,Nam rem quaerat ipsam qui fuga amet. Deleniti explicabo repudiandae enim aspernatur.,2025-07-29 19:51:10.954087
