HistoricoID,IsqueiroUsuarioID,LocalID,DataHoraRegistro,TipoEvento,Latitude,Longitude,Descricao,ConfiabilidadeLocalizacao,DataCriacao
1,355,425,2025-03-01 09:32:44.392985,Perdido,-23.456637697315834,-46.58549616975021,"Nisi repellat iure impedit ullam enim. Voluptates neque facere rerum commodi.
Natus nobis vero. Iure ex ducimus eius corporis.",0.55,2025-07-29 19:52:08.798653
2,58705,858,2024-10-19 05:39:47.322066,Perdido,-23.52719703219953,-46.75670907720171,Quibusdam ea repellat repellendus quasi culpa. Expedita consectetur dolores omnis aspernatur aspernatur.,0.62,2025-07-29 19:52:08.798653
3,21897,545,2024-10-31 17:35:12.767108,Guardado,-23.476798599292472,-46.625931354351636,Excepturi minus molestias sint earum eaque quos. Nulla numquam pariatur perspiciatis.,1.0,2025-07-29 19:52:08.798653
4,33344,235,2025-07-09 03:58:04.025245,Perdido,-23.594352250917684,-46.784561977216065,"Ullam est quo excepturi. Ullam molestiae modi ipsa iste. Id harum harum et quasi minus esse ex.
Nam fuga nam praesentium. Maiores assumenda nulla consequatur.",0.19,2025-07-29 19:52:08.798653
5,47212,610,2024-05-14 23:47:02.967112,Movido,-23.56249202264693,-46.68093036112345,"Possimus ullam animi a iusto odit. Illo quia consectetur placeat vero aliquid a.
Unde quibusdam quam provident ipsum quo odio vitae. Cumque culpa commodi. Nulla tempora cupiditate laboriosam.",0.18,2025-07-29 19:52:08.798653
6,32623,918,2024-09-29 13:32:11.699274,Perdido,-23.640369815335532,-46.54260040529741,"Ratione officiis tempora. Eum atque repellat id corporis dolores.
Expedita suscipit alias deleniti sapiente.",0.56,2025-07-29 19:52:08.798653
7,24548,805,2025-06-12 21:46:09.019276,Guardado,-23.537625073328858,-46.735672324967126,Facere iure fugit quaerat nostrum. Perspiciatis libero provident itaque praesentium repellat saepe. Iusto sed cumque officiis recusandae voluptatum numquam harum. Cum animi tempore numquam.,0.53,2025-07-29 19:52:08.798653
8,25664,6,2023-12-06 07:03:28.840540,Guardado,-23.597393825440534,-46.72744748070177,Consequatur a molestias hic et laborum. Explicabo labore libero.,0.37,2025-07-29 19:52:08.798653
9,15143,741,2024-06-06 15:39:06.870088,Perdido,-23.514392338203745,-46.68693975679135,Quasi nisi distinctio minima aspernatur cupiditate. Occaecati commodi inventore quidem.,0.44,2025-07-29 19:52:08.798653
10,35110,414,2025-06-01 14:52:40.587954,Guardado,-23.546844386353463,-46.576938427915245,Incidunt modi assumenda est repellat maxime. Enim itaque quia sunt facilis aperiam commodi. Blanditiis nemo aliquid quia cumque.,0.62,2025-07-29 19:52:08.798653
11,12444,504,2023-09-12 20:42:44.055926,Perdido,-23.577842749061674,-46.54586913082299,Beatae fuga soluta perspiciatis. Enim quasi saepe id doloremque corporis. Doloremque aut ipsum alias necessitatibus non qui nostrum.,0.26,2025-07-29 19:52:08.798653
12,58773,457,2023-10-05 03:51:57.962637,Guardado,-23.623780968897858,-46.73068761143101,Impedit iusto iste culpa quae. A veniam ipsam provident corrupti nulla.,0.15,2025-07-29 19:52:08.798653
13,37367,169,2025-02-12 12:43:07.176274,Encontrado,-23.654124346692903,-46.585216570929454,"Et expedita totam quis aspernatur quisquam. Reprehenderit occaecati perferendis illo ipsa corrupti dolorum adipisci.
Voluptas distinctio dolor explicabo saepe hic. Inventore suscipit vero.",0.13,2025-07-29 19:52:08.798653
14,16441,587,2024-07-16 22:23:42.865044,Encontrado,-23.679655989931103,-46.610225367203135,Amet a quod facilis consequatur accusantium. Quaerat ipsam id iure perspiciatis necessitatibus. Sapiente minima similique impedit dolores error.,0.48,2025-07-29 19:52:08.798653
15,52870,340,2024-11-01 19:48:13.000464,Encontrado,-23.638020886282156,-46.77926547773275,"Aut possimus fugit error quibusdam consequatur. Facere cum dolores ad cupiditate a.
Omnis voluptates sit sunt. Maiores sit iste consequatur culpa.
Illum in est alias impedit.",0.53,2025-07-29 19:52:08.798653
16,23636,769,2023-11-26 20:49:02.210697,Movido,-23.6823945774647,-46.632724486528616,Quibusdam maxime eligendi sunt sunt vero. Dignissimos asperiores eveniet asperiores sint.,0.41,2025-07-29 19:52:08.798653
17,36438,230,2025-01-21 23:04:28.575779,Perdido,-23.56028717800724,-46.514348112423995,Sequi illum dolorum doloremque. Voluptatum sint eos non sit non.,0.3,2025-07-29 19:52:08.798653
18,50923,723,2024-08-19 12:03:54.508762,Guardado,-23.412586371168675,-46.543226375339046,Perspiciatis inventore maiores id voluptates. In ut blanditiis eos doloremque. Natus laborum hic libero aspernatur mollitia sed aliquid.,0.63,2025-07-29 19:52:08.798653
19,55227,55,2023-11-20 22:58:31.444044,Guardado,-23.4584241905797,-46.63932362895478,Provident consectetur culpa voluptates maiores fuga beatae sequi. Quae eligendi nam adipisci corporis hic eum. Ratione unde neque dolor.,0.17,2025-07-29 19:52:08.798653
20,11120,603,2025-07-16 10:09:14.694161,Movido,-23.5443389160458,-46.58777817617759,Eum incidunt fuga consequatur numquam. Architecto nobis illo esse maxime laborum libero. Facilis labore eum. Nemo provident nisi vel quibusdam.,0.03,2025-07-29 19:52:08.798653
21,2807,70,2025-02-20 22:48:34.116126,Encontrado,-23.651603323833008,-46.52782582453496,Aliquid unde non corporis laboriosam sed ducimus ea. Magnam ducimus eos eveniet totam tenetur impedit. Iure voluptatibus quas tempore est.,0.07,2025-07-29 19:52:08.798653
22,38051,86,2025-03-08 04:09:42.408316,Encontrado,-23.504362220091895,-46.58506654021489,Consequatur quo odit sit explicabo tempora. Voluptatum fugiat deserunt vel saepe atque tempore.,0.9,2025-07-29 19:52:08.798653
23,35852,65,2025-03-04 18:14:29.998522,Encontrado,-23.543199525743173,-46.5130951433296,"Ipsam minus ullam dolorem veniam quod perspiciatis. Facere at labore dolore velit.
Sit perspiciatis porro voluptas magni excepturi reiciendis. Dolores sint temporibus quae laborum esse pariatur.",0.68,2025-07-29 19:52:08.798653
24,37434,786,2025-06-07 11:39:39.197037,Encontrado,-23.595630152369896,-46.634597366330276,"Ipsam minus aspernatur. Alias non cum nostrum doloribus excepturi.
Repudiandae assumenda nam nulla libero praesentium beatae. Architecto alias quasi aperiam explicabo culpa.",0.21,2025-07-29 19:52:08.798653
25,36462,208,2025-03-19 09:22:48.872711,Guardado,-23.63217011450321,-46.74300318315984,Laborum velit reiciendis fuga accusamus magnam harum est. Quasi exercitationem ut.,0.37,2025-07-29 19:52:08.798653
26,44690,246,2024-11-21 15:49:55.909392,Movido,-23.41041425352214,-46.56962041824071,"Illum repellat suscipit labore dicta.
Laboriosam voluptate enim atque eligendi perspiciatis.",0.94,2025-07-29 19:52:08.798653
27,3329,178,2024-05-25 23:59:21.924912,Guardado,-23.433323840898403,-46.62226980233599,Rem quod voluptas quibusdam eius officiis. Qui odio animi id. Culpa voluptatem vero et aliquam perspiciatis.,0.57,2025-07-29 19:52:08.798653
28,38960,907,2025-03-27 01:33:37.376107,Guardado,-23.42829275395701,-46.77445122412807,"Voluptate tempora tenetur rem delectus mollitia possimus. Nisi voluptatum tenetur praesentium alias iste.
Laboriosam voluptatum quis nam.
Repellat fugit officia minima accusamus repellat quia.",0.47,2025-07-29 19:52:08.798653
29,46473,112,2024-02-28 21:48:02.713416,Perdido,-23.631507808441814,-46.62887656926635,"Eius nemo exercitationem.
Omnis iure cum officiis quaerat nostrum vero.",0.99,2025-07-29 19:52:08.798653
30,22886,12,2024-10-18 01:48:35.609288,Guardado,-23.686245093762864,-46.61637916014915,"Quos possimus hic necessitatibus aperiam voluptas. Ex vel tempora optio perferendis.
Nihil animi dignissimos quisquam. Esse totam ut autem labore. Animi aut eius dolorum tempore.",0.41,2025-07-29 19:52:08.798653
31,7707,264,2024-01-23 16:07:12.550284,Guardado,-23.56697504649075,-46.77710967633763,Magnam a possimus voluptates repellat. Iusto hic modi delectus a sunt quo. Harum illo sequi reprehenderit.,0.65,2025-07-29 19:52:08.798653
32,11105,186,2025-04-19 15:34:09.607080,Encontrado,-23.620625329948346,-46.54321212031097,Veritatis natus cupiditate tenetur officia unde. Repudiandae voluptatem dolorum expedita dolor.,0.46,2025-07-29 19:52:08.798653
33,48361,120,2023-11-30 15:25:16.046001,Guardado,-23.46435256915471,-46.55709122583717,"Reiciendis libero soluta vitae. Ratione velit ratione nostrum.
Ullam dolor consequuntur voluptas. Rem unde culpa perferendis.",0.48,2025-07-29 19:52:08.798653
34,11365,874,2024-03-19 04:07:49.858344,Guardado,-23.655605438416046,-46.52124433986042,Repudiandae fugit cum maxime. Praesentium unde recusandae sequi fuga culpa. Dolorum dolorum dolore hic rerum facilis.,0.05,2025-07-29 19:52:08.798653
35,52660,225,2024-09-25 08:21:24.094202,Encontrado,-23.517826191855466,-46.66714776390828,Cum aspernatur fugiat placeat suscipit quisquam voluptatibus. Dolorem ut est ipsam doloremque reiciendis. Delectus doloremque dolorem necessitatibus. Eius quae aspernatur adipisci perspiciatis.,0.9,2025-07-29 19:52:08.798653
36,35125,653,2024-12-27 09:30:48.213531,Movido,-23.50386131124995,-46.67282919509892,Odio voluptate eos sint doloremque omnis quidem. Fuga similique inventore quas magni veniam. Officiis consequatur officia asperiores.,0.25,2025-07-29 19:52:08.798653
37,34614,398,2023-10-16 02:22:24.042848,Movido,-23.48836015820401,-46.52200960404272,"Delectus quis doloribus impedit. Laborum fugit eveniet saepe fuga corporis.
Quia nostrum iste eum. Repellendus necessitatibus delectus voluptas ducimus. Quidem quidem dolorum vitae ab vero officiis.",0.33,2025-07-29 19:52:08.798653
38,36385,849,2024-03-06 00:34:27.541730,Perdido,-23.40802618041478,-46.592455132220714,Officiis harum ducimus pariatur nesciunt quo. Magnam porro tenetur adipisci. Blanditiis officiis perspiciatis harum molestiae ea ad.,0.97,2025-07-29 19:52:08.798653
39,44806,15,2023-10-05 20:42:01.317448,Perdido,-23.62401514447501,-46.719436883478174,Facere quidem dignissimos facilis dolore temporibus dolorum. Delectus dicta sapiente beatae sed sint quia. Quasi quisquam nam placeat cumque deleniti.,0.33,2025-07-29 19:52:08.798653
40,41003,396,2024-07-12 15:30:23.886083,Guardado,-23.624417506474337,-46.53712150460103,"Nesciunt laudantium mollitia commodi deleniti provident quia amet. Cumque minus labore aliquam. Dicta molestias corrupti.
Recusandae officia neque. Repellat placeat voluptates.",0.24,2025-07-29 19:52:08.798653
41,39265,929,2025-03-03 06:12:49.877939,Perdido,-23.635223509917427,-46.79032696969865,Occaecati quasi tempore tenetur quis id. Quaerat error inventore dignissimos exercitationem enim. Saepe assumenda sapiente ipsa enim ducimus ratione eligendi.,0.72,2025-07-29 19:52:08.798653
42,24642,224,2024-10-18 21:11:16.208693,Guardado,-23.655540508369636,-46.599555969224966,Perferendis nulla voluptate ea aut. Atque tempore eos. Incidunt a expedita harum fuga asperiores molestias.,0.08,2025-07-29 19:52:08.798653
43,16958,2,2024-08-12 14:43:52.271622,Guardado,-23.520133976966942,-46.53151234998287,"Cumque illum voluptatibus occaecati.
Reiciendis error suscipit iure unde. Provident expedita praesentium voluptas cupiditate ducimus modi.",0.46,2025-07-29 19:52:08.798653
44,26130,435,2025-01-01 07:18:59.792533,Movido,-23.581359074580533,-46.54800921788769,In quae pariatur a nulla. Sequi ex aut assumenda. Occaecati ullam laborum quas iusto nemo neque error.,0.37,2025-07-29 19:52:08.798653
45,39254,504,2024-02-22 12:58:41.928682,Guardado,-23.635028578744247,-46.77482868184938,"Dignissimos unde fugit dolores. Error voluptate repellendus.
Eius expedita recusandae dolorum. Libero nobis totam quibusdam.
Eaque aliquam saepe. Ipsum et culpa magnam sit veritatis beatae.",0.14,2025-07-29 19:52:08.798653
46,12204,103,2025-04-14 06:34:48.477391,Perdido,-23.553276156143728,-46.75149391231045,"Perspiciatis quod et provident unde adipisci.
Dolorum voluptatum dolore beatae impedit consequuntur. Quo non voluptates cupiditate dolor.
Aperiam quidem eveniet fuga repellendus beatae nemo.",0.73,2025-07-29 19:52:08.798653
47,14917,538,2024-01-30 18:18:15.822665,Movido,-23.499871998167553,-46.56388323054799,"Tempora inventore explicabo natus reprehenderit saepe.
Esse aliquid voluptatibus quos iure esse vel. Neque accusantium quaerat ut.",0.55,2025-07-29 19:52:08.798653
48,26659,239,2024-01-05 16:35:17.838075,Encontrado,-23.521638333574963,-46.736060668551204,Recusandae reprehenderit officia repudiandae dolor minus ducimus. Reiciendis earum perferendis officia porro praesentium.,0.93,2025-07-29 19:52:08.798653
49,33792,539,2024-10-26 06:03:08.113600,Movido,-23.622480011623132,-46.55621477300658,"Illum dolorem laudantium eaque. Perferendis eum error. Aut suscipit sit iste quidem.
Et ipsum quae dolore odio autem facilis. Harum magni eum. Ducimus vel reiciendis necessitatibus tempora repellat.",0.2,2025-07-29 19:52:08.798653
50,9015,136,2025-06-01 03:24:15.664882,Encontrado,-23.527012237052695,-46.68295641231118,Necessitatibus animi quidem sed. Asperiores voluptas laborum ad quos. Aliquid dignissimos numquam nostrum harum. Asperiores cum incidunt accusantium totam totam.,0.25,2025-07-29 19:52:08.798653
51,55579,857,2025-03-17 17:25:35.272013,Perdido,-23.558437521787717,-46.59240257618987,Provident possimus tempora eligendi. Distinctio rerum error ut nesciunt. Beatae delectus libero minima magnam. Tempore dolorem autem maxime maxime.,0.16,2025-07-29 19:52:08.798653
52,11556,294,2025-02-27 20:30:33.375560,Guardado,-23.560497938365117,-46.63905389597551,"Molestiae enim eum.
Numquam vel asperiores. Illum veniam repudiandae laudantium dolorum.",0.43,2025-07-29 19:52:08.798653
