IsqueiroUsuarioID,UsuarioID,ItemCompraID,NumeroSerie,Apelido,DataCompra,DataPrimeiroUso,StatusAtual,LocalAtual,DataUltimaLocalizacao,CombustivelAtual,DataCriacao,DataAtualizacao
1,2847,36680,5343237269327,quod,2024-12-10 07:45:59.731817,2025-04-26 11:30:15.138095,Em Uso,"Colônia Rios, 47
João Pinheiro
55273374 Cavalcanti / ES",2024-11-20 04:47:53.360493,9.01,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
2,5231,8533,4883195895820,perferendis,2024-06-29 09:00:55.211304,2024-11-10 03:56:23.133228,Perdido,"Travessa Luna Pastor, 395
Beira Linha
09795-112 Sá / AC",2025-06-22 01:16:11.061532,30.54,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
3,4415,15033,3581311160401,vero,2024-02-16 04:45:31.300184,2024-03-22 07:09:50.618382,Em Uso,"Setor Ana Vitória Cavalcanti, 72
Alta Tensão 1ª Seção
21040-037 Azevedo / PI",2025-06-29 07:14:39.003223,12.08,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
4,4086,45055,3663312680468,a,2024-03-11 11:58:30.434693,2023-10-14 22:28:34.716068,Em Uso,"Residencial Nunes, 69
Vila Fumec
39125619 Aparecida / RS",2025-06-07 12:46:52.211506,29.29,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
5,4708,45085,5999617040019,ipsum,2025-03-16 18:31:20.233710,2024-06-22 07:20:53.369307,Perdido,"Rua de Leão, 52
Vila Cloris
33737401 Aparecida dos Dourados / AP",2024-08-10 13:56:09.358243,4.8,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
6,39,37880,1768160492811,quibusdam,2023-11-30 10:52:48.013170,2023-11-22 09:01:13.097155,Em Uso,"Vereda Rael Teixeira, 59
Araguaia
16438-979 Leão / ES",2024-09-25 13:34:00.128177,17.44,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
7,6967,25713,7894151947504,magni,2024-05-01 19:05:05.250691,2025-05-14 09:30:11.448476,Em Uso,"Fazenda de Aragão, 66
Bom Jesus
20647-377 Almeida Verde / AL",2024-10-31 14:18:25.907078,42.09,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
8,3158,184,5835148509765,velit,2024-05-27 16:13:31.927123,2024-02-21 11:32:11.855961,Em Uso,"Lagoa Santos, 595
Piratininga
68036-711 das Neves / RO",2025-07-13 02:08:40.215364,45.59,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
9,8890,13670,8566897348301,ipsum,2025-01-07 14:10:29.916601,2024-07-29 13:56:03.456817,Novo,"Quadra Dom Melo, 40
Parque São José
92860722 da Mota / RS",2025-05-17 07:58:30.519905,3.53,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
10,5746,25536,8995988832441,minus,2024-02-14 17:21:02.077231,2024-09-03 03:11:11.342932,Em Uso,"Sítio Alice Porto, 4
Vila Real 1ª Seção
41086-498 Costa do Oeste / RO",2025-06-23 12:05:15.633682,13.37,2025-07-29 19:51:52.424526,2025-07-29 19:51:52.424580
