ItemCompraID,CompraID,IsqueiroID,Quantidade,PrecoUnitario,Desconto,DataCriacao,SubTotal
1,42562,64,1,66.21,16.3,2025-07-29 19:51:11.231940,55.41776999999999
2,28348,60,2,21.34,17.83,2025-07-29 19:51:11.231940,35.070156
3,46261,26,2,54.01,12.36,2025-07-29 19:51:11.231940,94.668728
4,14754,15,2,97.28,9.01,2025-07-29 19:51:11.231940,177.030144
5,24538,14,1,18.53,11.79,2025-07-29 19:51:11.231940,16.345313
6,18147,100,2,83.24,9.34,2025-07-29 19:51:11.231940,150.93076799999997
7,38153,9,2,6.1,10.62,2025-07-29 19:51:11.231940,10.90436
8,24770,97,1,78.01,6.23,2025-07-29 19:51:11.231940,73.149977
9,18461,59,3,75.49,7.4,2025-07-29 19:51:11.231940,209.71121999999997
10,9938,60,2,77.17,9.91,2025-07-29 19:51:11.231940,139.044906
11,40528,73,3,20.32,17.38,2025-07-29 19:51:11.231940,50.365152
12,24354,70,1,29.94,7.57,2025-07-29 19:51:11.231940,27.673542
13,47604,10,2,49.69,4.59,2025-07-29 19:51:11.231940,94.81845799999999
14,25819,71,1,22.59,9.2,2025-07-29 19:51:11.231940,20.51172
15,24324,21,1,37.9,12.13,2025-07-29 19:51:11.231940,33.30273
16,12284,42,1,98.05,6.99,2025-07-29 19:51:11.231940,91.196305
17,13254,49,1,67.65,5.16,2025-07-29 19:51:11.231940,64.15926
18,19322,13,1,66.1,9.33,2025-07-29 19:51:11.231940,59.93287
19,20944,63,1,76.61,2.35,2025-07-29 19:51:11.231940,74.809665
20,10953,5,1,24.31,11.83,2025-07-29 19:51:11.231940,21.434127
21,23511,61,5,99.06,12.59,2025-07-29 19:51:11.231940,432.94173
22,46706,95,5,81.44,9.36,2025-07-29 19:51:11.231940,369.08608
23,45999,34,5,45.87,19.63,2025-07-29 19:51:11.231940,184.32859499999998
24,39620,17,5,93.04,9.51,2025-07-29 19:51:11.231940,420.95948000000004
25,368,70,3,94.53,9.12,2025-07-29 19:51:11.231940,257.72659200000004
26,13913,26,1,13.36,9.02,2025-07-29 19:51:11.231940,12.154927999999998
27,42195,2,1,10.65,19.78,2025-07-29 19:51:11.231940,8.54343
28,29345,27,1,41.72,0.68,2025-07-29 19:51:11.231940,41.436304
29,27839,100,1,97.1,7.67,2025-07-29 19:51:11.231940,89.65243
30,27642,49,3,58.69,13.52,2025-07-29 19:51:11.231940,152.265336
31,7713,41,2,46.14,4.79,2025-07-29 19:51:11.231940,87.859788
32,29842,52,1,61.29,1.97,2025-07-29 19:51:11.231940,60.082587
33,41121,63,1,63.36,6.23,2025-07-29 19:51:11.231940,59.412672
34,11480,68,1,99.36,19.5,2025-07-29 19:51:11.231940,79.98479999999999
35,42796,1,1,43.12,2.39,2025-07-29 19:51:11.231940,42.089431999999995
36,4711,25,2,96.75,13.74,2025-07-29 19:51:11.231940,166.91310000000001
37,16343,36,1,54.8,15.43,2025-07-29 19:51:11.231940,46.344359999999995
38,16726,73,1,84.11,4.52,2025-07-29 19:51:11.231940,80.308228
39,17335,20,2,25.13,18.61,2025-07-29 19:51:11.231940,40.906614000000005
40,46406,58,1,27.27,6.71,2025-07-29 19:51:11.231940,25.440183
41,18048,42,2,31.2,12.4,2025-07-29 19:51:11.231940,54.6624
42,41974,7,2,23.8,7.8,2025-07-29 19:51:11.231940,43.8872
43,6184,20,2,56.07,16.69,2025-07-29 19:51:11.231940,93.423834
44,11281,3,2,24.17,6.5,2025-07-29 19:51:11.231940,45.197900000000004
45,264,4,1,84.75,17.89,2025-07-29 19:51:11.231940,69.588225
46,48976,22,3,52.94,7.26,2025-07-29 19:51:11.231940,147.289668
47,47568,28,1,85.49,8.83,2025-07-29 19:51:11.231940,77.941233
48,44136,16,2,24.12,5.37,2025-07-29 19:51:11.231940,45.649512
49,34327,99,3,93.57,11.61,2025-07-29 19:51:11.231940,248.11956899999998
50,6541,25,4,79.92,17.5,2025-07-29 19:51:11.231940,263.736
51,9132,67,1,26.69,14.28,2025-07-29 19:51:11.231940,22.878668
52,43616,85,2,15.28,19.44,2025-07-29 19:51:11.231940,24.619135999999997
53,3575,95,1,47.25,7.25,2025-07-29 19:51:11.231940,43.824374999999996
54,34728,32,1,60.66,10.92,2025-07-29 19:51:11.231940,54.035928
55,1723,9,3,83.41,0.45,2025-07-29 19:51:11.231940,249.10396500000002
56,49535,1,3,65.47,2.7,2025-07-29 19:51:11.231940,191.10693
57,45147,72,2,61.23,4.54,2025-07-29 19:51:11.231940,116.90031599999999
58,29305,70,2,41.38,8.06,2025-07-29 19:51:11.231940,76.089544
59,38613,6,1,76.89,14.85,2025-07-29 19:51:11.231940,65.471835
60,28601,88,2,97.7,2.47,2025-07-29 19:51:11.231940,190.57362
61,8771,100,1,80.87,12.67,2025-07-29 19:51:11.231940,70.623771
62,34901,16,1,84.07,5.65,2025-07-29 19:51:11.231940,79.320045
63,46171,29,1,17.79,9.82,2025-07-29 19:51:11.231940,16.043021999999997
