LocalID,NomeLocal,TipoLocal,Endereco,Latitude,Longitude,Descricao,DataCriacao
1,Brito,Trabalho,"Lago Esther Andrade, 844
Sion
44251568 Pastor da Serra / MA",-23.661711884736143,-46.71816976578174,Esse officia fuga repellendus perspiciatis officia officia. Dolores ipsum dicta.,2025-07-29 19:51:54.642002
2,Pacheco,Casa,"Morro Fogaça, 990
Floresta
20185615 Costa / RS",-23.638823766441533,-46.577242603393366,"Modi fugiat aliquam sit natus.
Molestias quas eaque odit temporibus quos. Voluptatibus aut voluptatem nesciunt fugiat error.
Omnis debitis magni ducimus reiciendis voluptate recusandae perferendis.",2025-07-29 19:51:54.642002
3,Pacheco Borges e Filhos,Trabalho,"Núcleo Renan Leão, 46
Lindéia
82718100 Cassiano / DF",-23.570690652387643,-46.63206107595464,"Rerum aliquam fugiat minima corrupti at quas. Porro nostrum veniam deleniti perferendis velit. Veniam laboriosam ex porro.
Sit quas amet eveniet eligendi sunt ipsa. Molestias asperiores beatae.",2025-07-29 19:51:54.642002
4,Moreira S.A.,Trabalho,"Pátio Casa Grande, 44
Zilah Sposito
23199301 da Luz Verde / PB",-23.521010455553437,-46.76511190091654,Voluptatum magni magni quae quis ad molestias. Fugiat porro ut voluptatum fuga quaerat. Doloremque rem nesciunt dolores dignissimos.,2025-07-29 19:51:54.642002
5,Cassiano e Filhos,Bar,"Vila Sabrina Mendonça, 46
Anchieta
12728272 Nunes / PB",-23.69400670766848,-46.7011615816122,A ad atque rerum. Culpa dignissimos nostrum ratione cumque.,2025-07-29 19:51:54.642002
6,Rodrigues,Outro,"Morro Stella Monteiro, 1
São Francisco
66436800 Novais das Pedras / AP",-23.599547343468267,-46.671833945026044,"Architecto labore numquam. Nam laboriosam adipisci possimus minus maxime.
Fugiat quae suscipit ad accusantium tempora provident. Amet distinctio repellendus aspernatur distinctio.",2025-07-29 19:51:54.642002
7,Carvalho,Restaurante,"Largo de da Mota, 1
Nova Esperança
68154-476 Silveira / PR",-23.570566434044522,-46.51264722123398,"Numquam nihil at assumenda. Libero earum cumque quia pariatur doloribus veniam voluptate. Repellendus quis minima minima architecto deserunt.
Nam repellat rerum dicta similique magni.",2025-07-29 19:51:54.642002
8,Rocha Costela - EI,Casa,"Campo Sousa, 98
Alpes
43052-816 Montenegro / RO",-23.622965022600834,-46.70848066315901,"Ullam incidunt quas. Odit reprehenderit adipisci.
Eum iste assumenda optio libero error corrupti. Tenetur fugiat deleniti tempore mollitia.
Nemo ipsam iste dolor est adipisci commodi.",2025-07-29 19:51:54.642002
9,Montenegro,Trabalho,"Morro Léo Rocha, 77
Mineirão
24512-128 Araújo / AM",-23.453637470683727,-46.76346028364734,"Quaerat fuga reiciendis. Repellat dignissimos veniam commodi.
Natus ipsa nobis. Illo quia optio possimus eum totam. Facere facilis vitae voluptas dignissimos quasi repellendus expedita.",2025-07-29 19:51:54.642002
10,Macedo S.A.,Trabalho,"Praia Teixeira
Solar Do Barreiro
33153614 Freitas das Flores / PA",-23.53606314595906,-46.74521681279732,"Quaerat suscipit nobis id. Accusamus iure rerum rerum consequatur.
Laboriosam odit laudantium repellendus. Dicta quam eligendi.",2025-07-29 19:51:54.642002
11,Duarte,Trabalho,"Parque de Costela, 35
Oeste
01641-676 Ribeiro da Praia / RO",-23.610404288108217,-46.630924513732275,Voluptatum eaque quae esse. Ex inventore laborum excepturi laborum ea tempore. Repellendus perspiciatis ipsum dolorem magnam eligendi.,2025-07-29 19:51:54.642002
12,Pires,Casa,"Aeroporto de Silva, 71
Jardinópolis
13604-285 Dias Verde / MS",-23.577186635229214,-46.6349023591554,Voluptatem vero praesentium esse dolores quia corrupti autem. Nemo consequatur incidunt deleniti magnam tempore.,2025-07-29 19:51:54.642002
13,Sampaio,Bar,"Setor Helena da Luz, 29
Ambrosina
96859-002 Correia / PA",-23.490372901190327,-46.54647306197699,Nesciunt pariatur optio vitae maxime consequatur deserunt. Eligendi et alias quas et expedita aliquid consequatur.,2025-07-29 19:51:54.642002
14,da Mata,Restaurante,"Chácara Almeida
Vila Puc
46707689 Machado da Mata / MS",-23.540501208386758,-46.519592930933435,Labore aliquam hic asperiores ad ad adipisci perspiciatis. Aspernatur tenetur animi pariatur necessitatibus consequuntur. Corporis eligendi maiores dolorem a voluptate.,2025-07-29 19:51:54.642002
15,Casa Grande,Restaurante,"Chácara Jesus, 85
Vila Calafate
05936170 Cassiano de Vasconcelos / AL",-23.586689113091936,-46.782608157589664,Nobis illo nemo debitis eaque assumenda voluptate deleniti. Doloribus consequatur vitae ab quisquam. Mollitia quisquam ipsum doloribus.,2025-07-29 19:51:54.642002
16,Rocha,Restaurante,"Praia de Moura, 88
Grotinha
18253250 Vargas das Pedras / PA",-23.68787018692747,-46.716467443575866,Commodi ex debitis dicta suscipit molestiae recusandae provident. Minus fuga et error debitis similique. Similique ullam vitae numquam asperiores.,2025-07-29 19:51:54.642002
17,Mendonça,Casa,"Conjunto Emilly Pacheco, 14
São Tomaz
30796-190 Rodrigues das Flores / ES",-23.644832384818248,-46.79031403782365,"Ducimus iure impedit. Fuga quidem soluta officiis.
Quia itaque accusamus rem labore.",2025-07-29 19:51:54.642002
