ManutencaoID,IsqueiroUsuarioID,TipoManutencao,DataManutencao,Custo,EstabelecimentoID,Observacoes,DataCriacao
1,14658,Troca Pedra,2024-08-12 02:41:17.662726,6.24,646,Earum voluptate debitis consequatur.,2025-07-29 19:52:10.326811
2,55430,Recarga,2025-07-28 10:28:01.259792,8.51,972,Nulla itaque repellendus iusto. Voluptas tempore voluptatibus odit.,2025-07-29 19:52:10.326811
3,42996,Recarga,2025-02-13 22:08:07.488759,12.79,244,Ex facilis ullam amet non nesciunt. Ad sapiente harum odio.,2025-07-29 19:52:10.326811
4,35780,Limpeza,2023-10-20 21:20:24.575217,8.92,595,Iure at ipsum vitae. Modi quibusdam ex commodi.,2025-07-29 19:52:10.326811
5,3427,Limpeza,2024-07-11 23:26:50.857730,10.71,449,Molestiae quaerat doloribus recusandae fugiat. Facere rem suscipit.,2025-07-29 19:52:10.326811
6,22721,Recarga,2024-07-10 15:31:32.576165,16.54,70,Ratione dolor eius. Facilis quas qui iusto fugiat autem atque.,2025-07-29 19:52:10.326811
7,59334,Recarga,2024-05-27 04:20:49.756900,0.89,626,Et nobis esse. Saepe minima modi voluptas.,2025-07-29 19:52:10.326811
8,11968,Troca Pedra,2024-01-09 15:28:50.658676,11.12,917,Consequuntur minus modi rem nulla sint ea. Odit iusto ab sapiente neque.,2025-07-29 19:52:10.326811
9,48466,Recarga,2023-12-11 04:31:59.332785,9.3,203,Atque ab saepe praesentium placeat. Hic ut laboriosam adipisci quidem voluptas consequatur.,2025-07-29 19:52:10.326811
10,59042,Limpeza,2024-07-13 19:54:57.171815,9.5,547,Distinctio iusto voluptatum asperiores. Voluptatum adipisci consequuntur molestias repudiandae.,2025-07-29 19:52:10.326811
11,22325,Recarga,2024-06-14 23:46:41.064157,1.13,17,Occaecati porro ratione. Quaerat expedita doloribus voluptas quisquam sit.,2025-07-29 19:52:10.326811
12,45976,Recarga,2024-07-23 05:55:13.407207,6.18,638,Distinctio facere minima labore tempore. Doloremque eligendi fugit sed non quisquam non.,2025-07-29 19:52:10.326811
13,17836,Recarga,2023-12-29 11:04:04.066321,16.45,729,Expedita reiciendis eaque libero soluta ullam sunt. Aliquid consequatur quis delectus quo.,2025-07-29 19:52:10.326811
14,5866,Recarga,2024-07-24 12:27:04.780054,12.13,824,Error a labore nemo ex neque esse. Amet blanditiis quod vitae provident recusandae veniam.,2025-07-29 19:52:10.326811
