ItemCompraID,CompraID,IsqueiroID,Quantidade,PrecoUnitario,Desconto,SubTotal,MarcaID,CategoriaID,Modelo,Cor,Material,TipoCombustivel,CapacidadeML,Peso,PrecoSugerido,NomeMarca,NomeCategoria
1,42562,64,1,66.21,16.3,55.41776999999999,5,5,Modelo 64,Azul violeta,Aço Inoxidável,Butano,6.23,74.82,48.02,Djeep,Industrial
2,28348,60,2,21.34,17.83,35.070156,6,2,Modelo 60,Marrom rosado,Plástico,Butano,34.78,10.13,67.16,Flamme,Recarregável
3,46261,26,2,54.01,12.36,94.668728,5,4,Modelo 26,Coral claro,Aço Inoxidável,Gasolina,47.81,51.28,99.84,Djeep,Decorativo
4,14754,15,2,97.28,9.01,177.030144,9,1,Modelo 15,Carmim carnáceo,Aço Inoxidável,Butano,12.87,49.1,11.03,Firebird,Descartável
5,24538,14,1,18.53,11.79,16.345313,11,1,Modelo 14,Cinza claro,Aço Inoxidável,Butano,12.6,73.46,86.36,Ignite,Descartável
6,18147,100,2,83.24,9.34,150.93076799999997,14,2,Modelo 100,Água-marinha média,Metal,Gasolina,25.09,66.79,60.49,Glow,Recarregável
7,38153,9,2,6.1,10.62,10.90436,15,4,Modelo 9,Água-marinha,Plástico,Butano,20.09,75.61,60.95,Ember,Decorativo
8,24770,97,1,78.01,6.23,73.149977,6,3,Modelo 97,Branco,Metal,Butano,41.95,58.96,59.42,Flamme,Premium
9,18461,59,3,75.49,7.4,209.71122,12,4,Modelo 59,Fúcsia,Aço Inoxidável,Butano,11.81,51.69,88.1,Blaze,Decorativo
10,9938,60,2,77.17,9.91,139.044906,6,2,Modelo 60,Marrom rosado,Plástico,Butano,34.78,10.13,67.16,Flamme,Recarregável
11,40528,73,3,20.32,17.38,50.365152,18,3,Modelo 73,Vermelho enegrecido,Plástico,Butano,16.38,79.45,10.21,LightUp,Premium
12,24354,70,1,29.94,7.57,27.673542,1,3,Modelo 70,Malva,Aço Inoxidável,Butano,34.3,60.32,89.06,Bic,Premium
13,47604,10,2,49.69,4.59,94.818458,17,3,Modelo 10,Água-marinha,Plástico,Butano,36.79,47.66,82.03,Scorch,Premium
14,25819,71,1,22.59,9.2,20.51172,12,2,Modelo 71,Amêndoa,Plástico,Butano,49.64,45.83,60.53,Blaze,Recarregável
15,24324,21,1,37.9,12.13,33.30273,3,2,Modelo 21,Brasil,Plástico,Gasolina,31.5,47.74,12.0,Clipper,Recarregável
16,12284,42,1,98.05,6.99,91.196305,6,3,Modelo 42,Coral claro,Metal,Butano,27.38,99.36,60.67,Flamme,Premium
17,13254,49,1,67.65,5.16,64.15926,14,1,Modelo 49,Verde primavera médio,Aço Inoxidável,Gasolina,33.32,59.13,91.59,Glow,Descartável
18,19322,13,1,66.1,9.33,59.93287,16,5,Modelo 13,Rosa embaçado,Metal,Butano,31.89,39.33,24.03,Flint,Industrial
19,20944,63,1,76.61,2.35,74.809665,6,4,Modelo 63,Neve,Plástico,Outro,8.61,92.39,76.03,Flamme,Decorativo
20,10953,5,1,24.31,11.83,21.434127,7,1,Modelo 5,Verde Paris,Metal,Butano,16.62,72.0,42.48,Luminos,Descartável
21,23511,61,5,99.06,12.59,432.94173,11,4,Modelo 61,Ciano escuro,Plástico,Butano,43.82,59.9,35.72,Ignite,Decorativo
22,46706,95,5,81.44,9.36,369.08608,7,3,Modelo 95,Rosa Choque,Metal,Gasolina,6.91,52.54,60.34,Luminos,Premium
23,45999,34,5,45.87,19.63,184.328595,3,5,Modelo 34,Salmão,Aço Inoxidável,Butano,22.36,18.56,88.57,Clipper,Industrial
24,39620,17,5,93.04,9.51,420.95948,15,3,Modelo 17,Verde amarelado,Metal,Butano,47.84,36.58,24.48,Ember,Premium
25,368,70,3,94.53,9.12,257.72659200000004,1,3,Modelo 70,Malva,Aço Inoxidável,Butano,34.3,60.32,89.06,Bic,Premium
26,13913,26,1,13.36,9.02,12.154927999999998,5,4,Modelo 26,Coral claro,Aço Inoxidável,Gasolina,47.81,51.28,99.84,Djeep,Decorativo
27,42195,2,1,10.65,19.78,8.54343,14,4,Modelo 2,Sépia,Aço Inoxidável,Butano,48.33,65.65,75.89,Glow,Decorativo
28,29345,27,1,41.72,0.68,41.436304,17,2,Modelo 27,Jambo,Plástico,Gasolina,30.17,42.56,86.04,Scorch,Recarregável
29,27839,100,1,97.1,7.67,89.65243,14,2,Modelo 100,Água-marinha média,Metal,Gasolina,25.09,66.79,60.49,Glow,Recarregável
30,27642,49,3,58.69,13.52,152.265336,14,1,Modelo 49,Verde primavera médio,Aço Inoxidável,Gasolina,33.32,59.13,91.59,Glow,Descartável
31,7713,41,2,46.14,4.79,87.859788,2,5,Modelo 41,Chocolate,Aço Inoxidável,Butano,38.15,81.54,50.05,Zippo,Industrial
32,29842,52,1,61.29,1.97,60.082587,5,4,Modelo 52,Violeta escuro,Metal,Butano,48.4,98.68,67.89,Djeep,Decorativo
33,41121,63,1,63.36,6.23,59.412672,6,4,Modelo 63,Neve,Plástico,Outro,8.61,92.39,76.03,Flamme,Decorativo
34,11480,68,1,99.36,19.5,79.98479999999999,7,3,Modelo 68,Azul ardósia médio,Plástico,Butano,18.47,75.28,13.94,Luminos,Premium
35,42796,1,1,43.12,2.39,42.089432,5,4,Modelo 1,Verde primavera,Plástico,Butano,26.59,39.32,83.47,Djeep,Decorativo
36,4711,25,2,96.75,13.74,166.9131,1,4,Modelo 25,Coral,Plástico,Butano,47.96,38.96,55.49,Bic,Decorativo
37,16343,36,1,54.8,15.43,46.34436,3,5,Modelo 36,Linho,Aço Inoxidável,Butano,49.21,50.65,17.92,Clipper,Industrial
38,16726,73,1,84.11,4.52,80.308228,18,3,Modelo 73,Vermelho enegrecido,Plástico,Butano,16.38,79.45,10.21,LightUp,Premium
39,17335,20,2,25.13,18.61,40.906614000000005,8,2,Modelo 20,Vermelho enegrecido,Aço Inoxidável,Butano,17.95,41.8,88.93,Spark,Recarregável
40,46406,58,1,27.27,6.71,25.440183,1,4,Modelo 58,Creme,Metal,Outro,41.04,13.97,37.22,Bic,Decorativo
