EstabelecimentoID,TipoEstabelecimentoID,CidadeID,NomeEstabelecimento,Endereco,CEP,Latitude,Longitude,Telefone,HorarioFuncionamento,DataAbertura,DataCriacao,Ativo
1,6,333,Garcia - EI,"Vereda de Rocha, 686
Conjunto Novo Dom Bosco
99415-826 Brito do Amparo / AM",46873-669,-23.45188147790231,-46.783956461984424,+55 71 6517-7232,08:00-22:00,2019-05-03,2025-07-29 19:50:56.311614,1
2,2,148,Macedo Ltda.,"Avenida Vitória da Cunha, 80
Custodinha
86299-121 Sales / ES",36209-421,-23.68757283997278,-46.7847430728814,(051) 0435-7677,08:00-22:00,2017-10-27,2025-07-29 19:50:56.311614,1
3,5,453,Pereira Lopes S.A.,"Núcleo Marcelo Correia, 34
Conjunto Taquaril
95862-378 Silva / MT",32833323,-23.493310125397905,-46.59942164596149,+55 (051) 8145 6297,08:00-22:00,2021-11-10,2025-07-29 19:50:56.311614,1
4,1,83,Aragão Dias S.A.,"Largo Gabriel Pereira, 924
Ermelinda
33297563 Cassiano Grande / RN",25991337,-23.455655385195193,-46.74412871612766,+55 (061) 4495-1218,08:00-22:00,2022-09-25,2025-07-29 19:50:56.311614,1
5,7,149,Lopes,"Parque Sampaio, 56
Vila Mangueiras
97999-540 Camargo de Borges / MT",35465-320,-23.66078329375931,-46.522935645048435,+55 41 7928 6547,08:00-22:00,2022-05-02,2025-07-29 19:50:56.311614,1
6,1,170,Dias Farias e Filhos,"Fazenda Maitê Fernandes, 89
Alto Caiçaras
93062-487 Sousa Alegre / AL",22817-085,-23.641388779645958,-46.547278671592515,0300 372 9075,08:00-22:00,2020-10-21,2025-07-29 19:50:56.311614,1
7,8,325,Dias,"Chácara Otto Nascimento, 135
Maria Helena
46722-811 Cavalcanti da Praia / AC",40157-840,-23.50755200952149,-46.69533445199034,(011) 2986 0683,08:00-22:00,2021-03-16,2025-07-29 19:50:56.311614,1
8,5,270,Cavalcante Vieira S/A,"Campo Maria Alice Guerra, 34
Braúnas
47957111 Guerra / PI",75641-368,-23.605306016177032,-46.685979434456264,21 4849 0020,08:00-22:00,2017-09-27,2025-07-29 19:50:56.311614,1
9,5,228,Oliveira Oliveira S/A,"Feira Cavalcante, 128
Fernão Dias
37986745 Porto Grande / SC",83662317,-23.55707307862953,-46.701817031743566,+55 31 9378 6375,08:00-22:00,2017-03-06,2025-07-29 19:50:56.311614,1
10,3,326,da Luz,"Vereda Costela
Nova Floresta
72266205 Peixoto / RN",79855-066,-23.44919918751608,-46.77228152604247,+55 51 3811 2061,08:00-22:00,2021-11-29,2025-07-29 19:50:56.311614,1
11,2,5,Rezende - EI,"Lago Luiz Miguel Montenegro
Tupi A
13650330 Alves de Camargo / PE",29079712,-23.65860504858471,-46.79057095270493,(051) 2596 4660,08:00-22:00,2019-11-14,2025-07-29 19:50:56.311614,1
12,6,152,Almeida - EI,"Praia de Camargo
Nova Gameleira
69923-662 Marques de Viana / MG",66609262,-23.514104243428587,-46.664360052498026,+55 (071) 2107-0301,08:00-22:00,2023-11-06,2025-07-29 19:50:56.311614,1
13,4,221,da Rocha Ltda.,"Passarela Ana Luiza Dias, 6
Alto Caiçaras
00014-407 da Cunha do Amparo / RO",90180-088,-23.41728068331576,-46.51708796565255,+55 (061) 1822-2458,08:00-22:00,2020-10-12,2025-07-29 19:50:56.311614,1
14,10,157,Porto,"Rodovia Farias, 28
Alto Barroca
46193104 Caldeira da Mata / RJ",58802722,-23.682760011093848,-46.52482520375426,+55 (081) 1266-3408,08:00-22:00,2017-04-05,2025-07-29 19:50:56.311614,1
15,4,258,Duarte S/A,"Trecho de Freitas, 35
Serra Verde
37023-018 Porto do Norte / RO",56679-425,-23.681997970504572,-46.55704837766359,+55 61 7376-3883,08:00-22:00,2017-02-14,2025-07-29 19:50:56.311614,1
16,6,6,Souza,"Via Silveira
Anchieta
76485-561 Teixeira / GO",98368-891,-23.53357728821471,-46.6114215217671,71 5298-6593,08:00-22:00,2023-11-04,2025-07-29 19:50:56.311614,1
17,2,290,Casa Grande e Filhos,"Loteamento Oliveira, 314
Carlos Prates
53744-565 Melo / MG",81351-932,-23.4119772611717,-46.54313327799257,(061) 3977 6635,08:00-22:00,2018-11-24,2025-07-29 19:50:56.311614,1
18,2,204,Viana,"Fazenda Gustavo Lima, 37
Canaa
48393-662 Araújo de Novais / MG",20257-327,-23.63385790728996,-46.64547944468053,0800-095-2212,08:00-22:00,2025-04-23,2025-07-29 19:50:56.311614,1
19,10,278,Machado S/A,"Feira de da Luz, 42
São Vicente
04792874 Jesus / MA",37679984,-23.60076240908514,-46.745951960093805,61 7610 9765,08:00-22:00,2021-10-19,2025-07-29 19:50:56.311614,1
20,10,388,Rodrigues Jesus S/A,"Favela de Porto, 53
Conjunto Bonsucesso
38037-407 da Luz / ES",92675-864,-23.670405607635637,-46.59474889566323,+55 81 7187 5556,08:00-22:00,2021-08-16,2025-07-29 19:50:56.311614,1
21,4,493,Ramos - EI,"Distrito Maria Gonçalves, 47
Novo Aarão Reis
03077-960 Pimenta / CE",72396-195,-23.591325830868943,-46.523806189446454,+55 11 7125-7712,08:00-22:00,2021-09-17,2025-07-29 19:50:56.311614,1
22,6,369,Viana,"Condomínio Ana Lívia Ribeiro, 68
Bela Vitoria
25159-565 Porto do Amparo / RN",16095-695,-23.686700255993976,-46.79411847077827,+55 51 4178 1205,08:00-22:00,2023-07-25,2025-07-29 19:50:56.311614,1
23,2,134,da Rosa,"Parque da Costa, 97
Pantanal
98008-998 Melo / MT",18205192,-23.583271800676577,-46.72456678433762,11 2261-7246,08:00-22:00,2019-05-02,2025-07-29 19:50:56.311614,1
24,7,323,Novais,"Lago Sá, 62
Vila Da Amizade
98861391 Silveira de da Paz / BA",94302864,-23.53335366751739,-46.720368542618615,31 1519-6896,08:00-22:00,2021-12-31,2025-07-29 19:50:56.311614,1
25,8,77,Correia,"Lago Lara Azevedo
Itapoa
56376-245 Freitas de Sampaio / MS",33295609,-23.40749855199472,-46.77028813841512,+55 51 9661 4001,08:00-22:00,2023-10-26,2025-07-29 19:50:56.311614,1
26,9,447,Andrade e Filhos,"Vereda Maria Sophia Vargas, 2
São Bento
21046-531 Fernandes / AC",98069-303,-23.454483606107413,-46.73235173358043,(011) 5489-5438,08:00-22:00,2020-09-27,2025-07-29 19:50:56.311614,1
27,6,471,Macedo,"Núcleo Vargas, 3
João Paulo Ii
34799982 Alves / GO",59916-949,-23.453380376767395,-46.68480537662657,(011) 5958 3620,08:00-22:00,2021-02-27,2025-07-29 19:50:56.311614,1
