MarcaID,NomeMarca,PaisOrigem,DataFundacao,Website,DataCriacao
1,Bic,Botsuana,2016-07-06,http://da.com/,2025-07-29 19:50:55.911764
2,Zippo,Macedônia do Norte,1976-09-28,https://www.rocha.com/,2025-07-29 19:50:55.911764
3,Clipper,Ilhas Cook,2000-06-21,http://lima.com/,2025-07-29 19:50:55.911764
4,Cricket,Ilhas Turcas e Caicos,2016-10-23,https://www.alves.br/,2025-07-29 19:50:55.911764
5,Djeep,Ilhas Marshall,1989-09-25,http://nascimento.br/,2025-07-29 19:50:55.911764
6,Flamme,Butão,1976-01-17,https://www.pereira.org/,2025-07-29 19:50:55.911764
7,Luminos,Iraque,1991-11-08,http://www.ramos.net/,2025-07-29 19:50:55.911764
8,Spark,Vietnam,2024-07-11,http://www.ribeiro.org/,2025-07-29 19:50:55.911764
9,Firebird,Liechtenstein,2016-08-22,http://www.nunes.br/,2025-07-29 19:50:55.911764
10,Torch,Cuba,2024-05-22,http://cavalcante.com/,2025-07-29 19:50:55.911764
11,Ignite,Botsuana,1977-07-01,http://viana.net/,2025-07-29 19:50:55.911764
12,Blaze,Coreia do Norte,2013-10-14,https://www.sampaio.com/,2025-07-29 19:50:55.911764
13,Flicker,Malásia,1983-01-29,http://brito.br/,2025-07-29 19:50:55.911764
14,Glow,Taiwan,1987-06-18,http://garcia.com/,2025-07-29 19:50:55.911764
15,Ember,Coreia do Sul,2015-04-03,https://www.vasconcelos.br/,2025-07-29 19:50:55.911764
16,Flint,Gana,1980-01-24,https://pacheco.net/,2025-07-29 19:50:55.911764
17,Scorch,Egito,2003-10-29,http://www.das.com/,2025-07-29 19:50:55.911764
18,LightUp,Cazaquistão,2023-06-01,http://www.barros.org/,2025-07-29 19:50:55.911764
19,Burner,Território Britânico do Oceano Índico,1998-12-18,http://araujo.br/,2025-07-29 19:50:55.911764
20,Fireside,Paracel Islands,1990-07-09,https://www.borges.br/,2025-07-29 19:50:55.911764
